Name,Age,Hometown,Job,Eliminated,season,"Skin (0=white, 1= Black)",Bachelor Age
Ashley Salter[20],24,"Vinings, Georgia",Hair Stylist,4,19,0,33
Juelia Kinney[6][22],30,"Beaverton, Oregon",Esthetician,4,19,0,33
Nikki Delventhal[18],26,"Hasbrouck Heights, New Jersey",Former NFL Cheerleader,4,19,0,33
Jillian Anderson[23][24],25,"Howland, Ohio",News Producer,4,19,0,33
Amber James[6][25],29,"Kankakee, Illinois",Bartender,3,19,1,33
Tracy Darakis[27],29,"Wellington, Florida",Fourth Grade Teacher,3,19,0,33
Trina Scherenberg[13][28],33,"Algonquin, Illinois",Special Education Teacher,3,19,0,33
Alissa Giambrone[18],24,"Hamilton, New Jersey",Flight Attendant,2,19,0,33
Jordan Branch[30],24,"Windsor, Colorado",Student,2,19,0,33
Kimberly Sherbach[31],28,"Wantagh, New York",Yoga Instructor,2,19,0,33
Tandra Steiner[6],30,"Sandy, Utah",Executive Assistant,2,19,0,33
Tara Eddings[6][33],26,"Fort Lauderdale, Florida",Sport Fishing Enthusiast,2,19,0,33
Amanda Goerlitz[28],24,"Lake in the Hills, Illinois",Ballet Teacher,1,19,0,33
Bo Stanley[34],25,"Carpinteria, California",Plus-Size Model,1,19,0,33
Brittany Fetkin[35],26,"Temecula, California",WWE Diva-in-Training,1,19,0,33
Kara Wilson[36],25,"Brownsville, Kentucky",High School Soccer Coach,1,19,0,33
Michelle Davis[6],25,"Provo, Utah",Wedding Cake Baker,1,19,0,33
Nicole Meacham[37][38],31,"Scottsdale, Arizona",Real Estate Agent,1,19,0,33
Reegan Cornwell[13],28,"Manhattan Beach, California",Cadaver Tissue Saleswoman,1,19,0,33
*Lauren Bushnell*[9],25,"*West Linn, Oregon*",*Flight Attendant*,11,20,0,26
"Joelle ""JoJo"" Fletcher[6][11]",24,"Dallas, Texas",Real Estate Developer,10,20,0,26
Caila Quinn[12],24,"Hudson, Ohio",Software Sales Representative,9,20,0,26
Amanda Stanton[11][14],25,"Laguna Beach, California",Esthetician,8,20,0,26
Becca Tilley[16],26,"Shreveport, Louisiana",Chiropractic Assistant,7,20,0,26
Emily Ferguson[a][11],23,"Las Vegas, Nevada",Waitress,7,20,0,26
Lauren Himle[18],25,"Dexter, Michigan",Kindergarten Teacher,6,20,0,26
Olivia Caridi[5][11],23,"Austin, Texas",Former News Anchor,6,20,0,26
Leah Block[20],25,"Greenwood Village, Colorado",Event Planner,6,20,0,26
Jennifer Saviano[21],25,"Davie, Florida",Small Business Owner,5,20,0,26
Jubilee Sharpe[11],24,"Fort Lauderdale, Florida",War Veteran,5,20,1,26
Amber James[23],30,"Kankakee, Illinois",Bartender,4,20,1,26
Rachel Tchen[25],23,"Little Rock, Arkansas",Unemployed,4,20,0,26
Haley Ferguson[a][11],23,"Las Vegas, Nevada",Waitress,4,20,0,26
Jami Letain[26],23,"St. Albert, Alberta",Bartender,3,20,1,26
Shushanna Mkrtychyan[28],27,"Salt Lake City, Utah",Property Manager,3,20,0,26
Lace Morris[20],25,"Denver, Colorado",Real Estate Agent,3,20,0,26
"Jacqueline ""Jackie"" Dion[29]",23,"Newport Beach, California",Gerontologist,2,20,0,26
"Amanda ""Mandi"" Kremer[31]",28,"Portland, Oregon",Dentist,2,20,0,26
Samantha Passmore[32],26,"New Smyrna Beach, Florida",Attorney,2,20,0,26
"Lauren ""LB"" Barr[33]",23,"Stillwater, Oklahoma",Fashion Buyer,2,20,0,26
Laura Esselman[34],24,"Louisville, Kentucky",Account Executive,1,20,0,26
Breanne Rice[36],30,"Seattle, Washington",Nutritional Therapist,1,20,0,26
Lauren Russell[37],26,"Houston, Texas",Math Teacher,1,20,0,26
"Isabel ""Izzy"" Goodkind[38]",24,"Branford, Connecticut",Graphic Designer,1,20,0,26
Maegan Miller[37],30,"Visalia, California",Cowgirl,1,20,0,26
Jessica Moser[39],23,"Boca Raton, Florida",Accountant,1,20,0,26
Tiara Soleim[40],27,"Redmond, Washington",Chicken Enthusiast,1,20,0,26
